,date,year,headline
336,"September 17, 1977",1977,"Maria Callas, 53, Is Dead of Heart Attack in Paris"
337,"October 10, 1982",1982,"Anna Freud, Psychoanalyst, Dies in London at 86"
338,"November 20, 1975",1975,"Out of the Crucible of Civil War, Franco&aposs Iron Hand Forged a Modern Spain"
339,"December 16, 1966",1966,"Walt Disney, 65, Dies on Coast; Founded an Empire on a Mouse"
340,"August 25, 1995",1995,"Alfred Eisenstaedt, Photographer of the Defining Moment, Is Dead at 96"
341,"April 25, 1947",1947,Author of &aposLost Lady&apos Won the Pulitzer Prize in 1922 for Writing &aposOne of Ours&apos
342,"May 17, 1990",1990,Sammy Davis Jr. Dies at 64; Top Showman Broke Barriers
343,"January 7, 1994",1994,"Thomas P. O&aposNeill Jr., a Democratic Power in the House for Decades, Dies at 81"
344,"December 27, 1931",1931,Dr. Melvil Dewey Dead In Florida
345,"September 21, 1947",1947,La Guardia Is Dead; City Pays Homage To 3-Time Mayor
346,"May 16, 1998",1998,Frank Sinatra Dies at 82; Matchless Stylist of Pop
347,"March 5, 1993",1993,"Carlos Montoya, 89, Flamenco Guitarist, Is Dead"
348,"August 10, 1965",1965,"Shirley Jackson, Author of Horror Classic, Dies"
349,"June 6, 1976",1976,J. Paul Getty Dead at 83; Amassed Billions From Oil
350,"November 16, 1978",1978,Margaret Mead Is Dead of Cancer at 76
351,"July 11, 1979",1979,"Arthur Fiedler, 84, Conductor Of Boston Pops 50 Years, Dies"
352,"July 30, 1981",1981,"Robert Moses, Master Builder, is Dead at 92"
353,"November 11, 1982",1982,Brezhnev Attempted to Advance Soviet Goals Through Detente; Soviet Leader Used Consensus in Politburo on Domestic Issues
354,"December 10, 1965",1965,"Branch Rickey, 83, Dies in Missouri"
355,"March 6, 1953",1953,Stalin Rose From Czarist Oppression to Transform Russia Into Mighty Socialist State
356,"June 15, 1991",1991,"Dame Peggy Ashcroft, Acclaimed British Actress, Is Dead at 83;"
357,"May 26, 1919",1919,Wealthiest Negress Dead
358,"June 19, 1989",1989,"I.F. Stone, Iconoclast of Journalism, Is Dead at 81"
359,"October 7, 1981",1981,"Anwar el-Sadat, the Daring Arab Pioneer of Peace with Israel"
360,"September 10, 1976",1976,Mao Tse-Tung: Father of Chinese Revolution
361,"May 6, 1992",1992,"Marlene Dietrich, 90, Symbol of Glamour, Dies"
362,"April 24, 1983",1983,"Earl Hines, 77, Father of Modern Jazz Piano, Dies"
363,"August 1, 1875",1875,Andrew Johnson Dead
364,"October 4, 1944",1944,Alfred E. Smith Dies Here at 70; 4 Times Governor
365,"November 4, 1954",1954,"Art World Mourns Henri Matisse, Dead at Home in Nice at Age of 84"
